# params: rsiLen=2 fastLen=1 slowLen=2 extLook=5 sqBotMin=1 sqBotMax=2 sqBotCtx=2 sqTopMin=1 sqTopMax=2 sqTopCtx=2
# P1a bottom: fires at bar 7 (prev RED 1b at bar 5, frac 0.0374 <= 0.33); bar 11 blocked by AREA only (frac 1.034)
bar,open,high,low,close,exp_rsi,exp_atr,exp_state,exp_runLen,exp_botHit,exp_topHit,exp_upTick,exp_dnTick,exp_upTickAtr,exp_dnTickAtr,exp_mBars,exp_eff1,exp_eff2,exp_vel1,exp_vel2,exp_botSep,exp_botTop,exp_botBot,exp_topSep,exp_topTop,exp_topBot,exp_prevTop
0,100,100,100,100,na,,0,1,0,0,,,,,,,,,,,,,,,,
1,100,101,100,101,na,,0,2,0,0,,,,,,,,,,,,,,,,
2,101,102,101,102,100,,0,3,0,0,,,,,,,,,,,,,,,,
3,102,103,102,103,100,,0,4,0,0,,,,,,,,,,,,,,,,
4,103,103,95,95,11.111111,,0,5,0,0,,,,,,,,,,,,,,,,
5,95,95.5,95,95.5,20,,1,1,0,0,,,,,,,,,,,,,,,,na
6,95.5,95.5,95,95,16.666667,,0,1,0,0,,,,,,,,,,,,,,,,20
7,95,95,94.5,94.5,12.5,,0,2,1,0,,,,,,,,,,4.444444,20,15.555556,,,,
8,94.5,94.5,94,94,8.333333,,0,3,0,0,,,,,,,,,,,,,,,,
9,94,94.5,94,94.5,45,,1,1,0,0,,,,,,,,,,,,,,,,
10,94.5,94.5,94,94,25,,0,1,0,0,,,,,,,,,,,,,,,,
11,94,94,93.5,93.5,13.235294,,0,2,0,0,,,,,,,,,,,,,,,,
