# params: rsiLen=2 fastLen=1 slowLen=2 extLook=5 sqBotMin=1 sqBotMax=2 sqBotCtx=2 sqTopMin=1 sqTopMax=2 sqTopCtx=2 sqBotArea=False
# P1a bottom, area off: fires at 7; bar 8 bump never reaches ctx (CTX block); bar 12 blocked by PREV2LEN only (prev2Len 1); bar 17 blocked by WIDTH only (prevLen 3)
bar,open,high,low,close,exp_rsi,exp_atr,exp_state,exp_runLen,exp_botHit,exp_topHit,exp_upTick,exp_dnTick,exp_upTickAtr,exp_dnTickAtr,exp_mBars,exp_eff1,exp_eff2,exp_vel1,exp_vel2,exp_botSep,exp_botTop,exp_botBot,exp_topSep,exp_topTop,exp_topBot,exp_prevTop
0,100,100,100,100,na,,0,1,0,0,,,,,,,,,,,,,,,,
1,100,101,100,101,na,,0,2,0,0,,,,,,,,,,,,,,,,
2,101,102,101,102,100,,0,3,0,0,,,,,,,,,,,,,,,,
3,102,103,102,103,100,,0,4,0,0,,,,,,,,,,,,,,,,
4,103,103,95,95,11.111111,,0,5,0,0,,,,,,,,,,,,,,,,
5,95,95.5,95,95.5,20,,1,1,0,0,,,,,,,,,,,,,,,,
6,95.5,95.5,95,95,16.666667,,0,1,0,0,,,,,,,,,,,,,,,,
7,95,95,94.5,94.5,12.5,,0,2,1,0,,,,,,,,,,,,,,,,
8,94.5,95.5,94.5,95.5,56.25,,1,1,0,0,,,,,,,,,,,,,,,,
9,95.5,95.5,94.5,94.5,28.125,,0,1,0,0,,,,,,,,,,,,,,,,
10,94.5,95.5,94.5,95.5,64.0625,,1,1,0,0,,,,,,,,,,,,,,,,
11,95.5,95.5,94.5,94.5,32.03125,,0,1,0,0,,,,,,,,,,,,,,,,
12,94.5,94.5,93.5,93.5,16.015625,,0,2,0,0,,,,,,,,,,,,,,,,
13,93.5,94.5,93.5,94.5,58.0078125,,1,1,0,0,,,,,,,,,,,,,,,,
14,94.5,95.5,94.5,95.5,79.00390625,,1,2,0,0,,,,,,,,,,,,,,,,
15,95.5,96.5,95.5,96.5,89.501953125,,1,3,0,0,,,,,,,,,,,,,,,,
16,96.5,96.5,95.5,95.5,44.7509765625,,0,1,0,0,,,,,,,,,,,,,,,,
17,95.5,95.5,94.5,94.5,22.37548828125,,0,2,0,0,,,,,,,,,,,,,,,,
