# params: 
# P3 continuity: zero step at bar 1 (mDir stays 0), zero step at bar 4 (continuation), flips at 5,7,8,9,10,11,13; eff is 1 whenever defined because a move's path equals |net| by construction
bar,open,high,low,close,exp_rsi,exp_atr,exp_state,exp_runLen,exp_botHit,exp_topHit,exp_upTick,exp_dnTick,exp_upTickAtr,exp_dnTickAtr,exp_mBars,exp_eff1,exp_eff2,exp_vel1,exp_vel2,exp_botSep,exp_botTop,exp_botBot,exp_topSep,exp_topTop,exp_topBot,exp_prevTop
0,10,10,10,10,,,,,,,,,,,1,na,na,na,na,,,,,,,
1,10,10,10,10,,,,,,,,,,,1,na,na,na,na,,,,,,,
2,10,11,10,11,,,,,,,,,,,1,na,na,na,na,,,,,,,
3,11,13,11,13,,,,,,,,,,,2,na,na,na,na,,,,,,,
4,13,13,13,13,,,,,,,,,,,3,na,na,na,na,,,,,,,
5,13,13,12,12,,,,,,,,,,,1,1,na,1,na,,,,,,,
6,12,12,10,10,,,,,,,,,,,2,1,na,1,na,,,,,,,
7,10,11,10,11,,,,,,,,,,,1,1,1,1.5,1,,,,,,,
8,11,11,10.5,10.5,,,,,,,,,,,1,1,1,1,1.5,,,,,,,
9,10.5,11.5,10.5,11.5,,,,,,,,,,,1,1,1,0.5,1,,,,,,,
10,11.5,11.5,11,11,,,,,,,,,,,1,1,1,1,0.5,,,,,,,
11,11,12,11,12,,,,,,,,,,,1,1,1,0.5,1,,,,,,,
12,12,13,12,13,,,,,,,,,,,2,1,1,0.5,1,,,,,,,
13,13,13,12.5,12.5,,,,,,,,,,,1,1,1,1,0.5,,,,,,,
