# params: rsiLen=2 fastLen=1 slowLen=2 areaLook=5 botMinW=1 botMaxW=2 botCtx=2 botSep=5 topMinW=1 topMaxW=2 topCtx=3 topSep=5 turnMax=12 turnHold=2 botNeedLow=False topNeedHigh=False
# area off: bottom squares at 9, 24, 45, 65; SEP block at 27; WIDTH block at 37; CTX block at 42; turn EXPIRY at 60; HOLD block at 68; turns at 12, 30, 70; legs close at 19, 30, 70
bar,open,high,low,close,exp_rsi,exp_slow,exp_atr,exp_state,exp_posW,exp_inLow,exp_inHigh,exp_botRaw,exp_botWid,exp_topRaw,exp_topWid,exp_botSq,exp_botSqTop,exp_botSqBot,exp_topSq,exp_topSqTop,exp_topSqBot,exp_botArmed,exp_topArmed,exp_botTurn,exp_botGap,exp_topTurn,exp_topGap,exp_botTick,exp_topTick,exp_legDir,exp_legDist,exp_legBars,exp_legEff,exp_leg1,exp_leg2
0,100,100,100,100,na,,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
1,100,101,100,101,na,,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
2,101,102,101,102,100,,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
3,102,103,102,103,100,,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
4,103,103,95,95,11.111111,,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
5,95,95,94,94,9.090909,,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
6,94,94,93,93,6.666667,,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
7,93,93.5,93,93.5,26.315789,,,1,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
8,93.5,93.5,93,93,18.518519,,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
9,93,93,92.5,92.5,11.627907,,,0,,,,1,1,0,,1,,,0,,,1,0,0,,0,,,,0,,,,,
10,92.5,93.5,92.5,93.5,64.485981,,,1,,,,0,,0,,0,,,0,,,1,0,0,,0,,,,0,,,,,
11,93.5,94.5,93.5,94.5,83.829787,,,1,,,,0,,0,,0,,,0,,,1,0,0,,0,,,,0,,,,,
12,94.5,95.5,94.5,95.5,92.260692,,,1,,,,0,,0,,0,,,0,,,0,0,1,3,0,,,,0,,,,,
13,95.5,95.5,95,95,60.64257,,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
14,95,96,95,96,83.399209,,,1,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
15,96,97,96,97,92.30165,,,1,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
16,97,98,97,98,96.285534,,,1,,,,0,,1,1,0,,,1,,,0,1,0,,0,,,,0,,,,,
17,98,98,97,97,47.314832,,,0,,,,0,,0,,0,,,0,,,0,1,0,,0,,,,0,,,,,
18,97,97,96,96,23.455726,,,0,,,,0,,0,,0,,,0,,,0,1,0,,0,,,,0,,,,,
19,96,96,95,95,11.678083,,,0,,,,0,,0,,0,,,0,,,0,0,0,,1,4,,,1,0.5,7,0.076923,UP 0.5 / 7b / eff 0.08,—
20,95,95,94,94,5.826675,,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
21,94,94,93,93,2.910256,,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
22,93,93.5,93,93.5,35.296318,,,1,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
23,93.5,93.5,93,93,,,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
