# params: rsiLen=2 fastLen=1 slowLen=2 areaLook=5 botMinW=1 botMaxW=2 botCtx=2 botSep=5 topMinW=1 topMaxW=2 topCtx=3 topSep=5 turnMax=12 turnHold=2
# bottom wedge at 7 confirmed at 9 (LOW, posW 0.0935); BOT turn at 12 (gap 3); top wedge at 13 confirmed at 16 (HIGH, posW 0.8411); TOP turn at 19 (gap 4) closes the UP leg; wedge at 22 confirmed raw at 24 but AREA-blocked (posW 0.475)
bar,open,high,low,close,exp_rsi,exp_slow,exp_atr,exp_state,exp_posW,exp_inLow,exp_inHigh,exp_botRaw,exp_botWid,exp_topRaw,exp_topWid,exp_botSq,exp_botSqTop,exp_botSqBot,exp_topSq,exp_topSqTop,exp_topSqBot,exp_botArmed,exp_topArmed,exp_botTurn,exp_botGap,exp_topTurn,exp_topGap,exp_botTick,exp_topTick,exp_legDir,exp_legDist,exp_legBars,exp_legEff,exp_leg1,exp_leg2
0,100,100,100,100,na,na,,0,0.5,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
1,100,101,100,101,na,na,,0,0.5,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
2,101,102,101,102,100,na,,0,0.5,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
3,102,103,102,103,100,100,,0,0.5,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
4,103,103,95,95,11.111111,55.555556,,0,0.5,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
5,95,95,94,94,9.090909,10.10101,,0,0.5,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
6,94,94,93,93,6.666667,7.878788,,0,0.5,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
7,93,93.5,93,93.5,26.315789,16.491228,,1,0.09349,1,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
8,93.5,93.5,93,93,18.518519,22.417154,,0,0.304936,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
9,93,93,92.5,92.5,11.627907,15.073213,,0,0.494858,,,1,1,0,,1,26.315789,16.491228,0,,,1,0,0,,0,,,,0,,,,,
10,92.5,93.5,92.5,93.5,64.485981,38.056944,,1,,,,0,,0,,0,,,0,,,1,0,0,,0,,,,0,,,,,
11,93.5,94.5,93.5,94.5,83.829787,74.157884,,1,,,,0,,0,,0,,,0,,,1,0,0,,0,,,,0,,,,,
12,94.5,95.5,94.5,95.5,92.260692,88.04524,,1,,,,0,,0,,0,,,0,,,0,0,1,3,0,,,,0,,,,,
13,95.5,95.5,95,95,60.64257,76.451631,,0,0.841122,,1,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
14,95,96,95,96,83.399209,72.02089,,1,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
15,96,97,96,97,92.30165,87.85043,,1,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
16,97,98,97,98,96.285534,94.293592,,1,,,,0,,1,1,0,,,1,76.451631,60.64257,0,1,0,,0,,,,0,,,,,
17,98,98,97,97,47.314832,71.800183,,0,,,,0,,0,,0,,,0,,,0,1,0,,0,,,,0,,,,,
18,97,97,96,96,23.455726,35.385279,,0,,,,0,,0,,0,,,0,,,0,1,0,,0,,,,0,,,,,
19,96,96,95,95,11.678083,17.566905,,0,,,,0,,0,,0,,,0,,,0,0,0,,1,4,,,1,0.5,7,0.076923,UP 0.5 / 7b / eff 0.08,—
20,95,95,94,94,5.826675,8.752379,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
21,94,94,93,93,2.910256,4.368466,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
22,93,93.5,93,93.5,35.296318,19.103287,,1,0.475059,0,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
23,93.5,93.5,93,93,,,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
24,93,93,92.5,92.5,,,,0,,,,1,1,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
