# params: atrLen=2
# ticks: TOP fires at 4 and 9, BOT at 5; blocks: ATR na (0), wick/range (1), wick/ATR (2,6,7,8), rng==0 (3)
bar,open,high,low,close,exp_rsi,exp_slow,exp_atr,exp_state,exp_posW,exp_inLow,exp_inHigh,exp_botRaw,exp_botWid,exp_topRaw,exp_topWid,exp_botSq,exp_botSqTop,exp_botSqBot,exp_topSq,exp_topSqTop,exp_topSqBot,exp_botArmed,exp_topArmed,exp_botTurn,exp_botGap,exp_topTurn,exp_topGap,exp_botTick,exp_topTick,exp_legDir,exp_legDist,exp_legBars,exp_legEff,exp_leg1,exp_leg2
0,100,101,99,100,,,na,,,,,,,,,,,,,,,,,,,,,na,na,,,,,,
1,100,101,99,100,,,2,,,,,,,,,,,,,,,,,,,,,na,na,,,,,,
2,100,102,99.5,100,,,2.25,,,,,,,,,,,,,,,,,,,,,na,na,,,,,,
3,100,100,100,100,,,1.125,,,,,,,,,,,,,,,,,,,,,na,na,,,,,,
4,100,104,99.9,100.1,,,2.6125,,,,,,,,,,,,,,,,,,,,,na,1.492823,,,,,,
5,100.1,100.2,96,100,,,3.40625,,,,,,,,,,,,,,,,,,,,,1.174312,na,,,,,,
6,110,110.5,108,110.2,,,6.953125,,,,,,,,,,,,,,,,,,,,,na,na,,,,,,
7,110.2,113,110.1,110.3,,,4.9265625,,,,,,,,,,,,,,,,,,,,,na,na,,,,,,
8,110.3,110.4,110.3,110.3,,,2.51328125,,,,,,,,,,,,,,,,,,,,,na,na,,,,,,
9,110.3,118,110.3,110.4,,,5.106640625,,,,,,,,,,,,,,,,,,,,,na,1.488258,,,,,,
