# params: rsiLen=2 fastLen=1 slowLen=2 areaLook=5 botMinW=1 botMaxW=2 botCtx=2 botSep=5 topMinW=1 topMaxW=2 topCtx=3 topSep=5 turnMax=12 turnHold=2 topNeedHigh=False
# top area off: top squares at 16, 36, 46; SEP block at 20; WIDTH block at 26; CTX block at 32; TOP turns at 23 (gap 8) and 39 (gap 4); EXPIRY at 61
bar,open,high,low,close,exp_rsi,exp_slow,exp_atr,exp_state,exp_posW,exp_inLow,exp_inHigh,exp_botRaw,exp_botWid,exp_topRaw,exp_topWid,exp_botSq,exp_botSqTop,exp_botSqBot,exp_topSq,exp_topSqTop,exp_topSqBot,exp_botArmed,exp_topArmed,exp_botTurn,exp_botGap,exp_topTurn,exp_topGap,exp_botTick,exp_topTick,exp_legDir,exp_legDist,exp_legBars,exp_legEff,exp_leg1,exp_leg2
0,100,100,100,100,,,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
1,100,101,100,101,,,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
2,101,102,101,102,,,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
3,102,103,102,103,,,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
4,103,103,95,95,,,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
5,95,95,94,94,,,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
6,94,94,93,93,,,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
7,93,93.5,93,93.5,,,,1,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
8,93.5,93.5,93,93,,,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
9,93,93,92.5,92.5,,,,0,,,,1,1,0,,1,,,0,,,1,0,0,,0,,,,0,,,,,
10,92.5,93.5,92.5,93.5,,,,1,,,,0,,0,,0,,,0,,,1,0,0,,0,,,,0,,,,,
11,93.5,94.5,93.5,94.5,,,,1,,,,0,,0,,0,,,0,,,1,0,0,,0,,,,0,,,,,
12,94.5,95.5,94.5,95.5,,,,1,,,,0,,0,,0,,,0,,,0,0,1,3,0,,,,0,,,,,
13,95.5,95.5,95,95,,,,0,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
14,95,96,95,96,,,,1,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
15,96,97,96,97,,,,1,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
16,97,98,97,98,,,,1,,,,0,,1,1,0,,,1,,,0,1,0,,0,,,,0,,,,,
17,98,98,97,97,,,,0,,,,0,,0,,0,,,0,,,0,1,0,,0,,,,0,,,,,
18,97,98,97,98,,,,1,,,,0,,0,,0,,,0,,,0,1,0,,0,,,,0,,,,,
19,98,99,98,99,,,,1,,,,0,,0,,0,,,0,,,0,1,0,,0,,,,0,,,,,
20,99,100,99,100,,,,1,,,,0,,1,1,0,,,0,,,0,1,0,,0,,,,0,,,,,
21,100,100,99.5,99.5,,,,0,,,,0,,0,,0,,,0,,,0,1,0,,0,,,,0,,,,,
22,99.5,99.5,99,99,,,,0,,,,0,,0,,0,,,0,,,0,1,0,,0,,,,0,,,,,
23,99,99,98.5,98.5,,,,0,,,,0,,0,,0,,,0,,,0,0,0,,1,8,,,1,3,11,0.333333,UP 3 / 11b / eff 0.33,—
24,98.5,99,98.5,99,,,,1,,,,0,,0,,0,,,0,,,0,0,0,,0,,,,0,,,,,
