stop-at-cross entry, no time exit. cells = net$/PF ; last cols = pooled
 buffer  maxdist         5m        15m        30m        60m       240m         1D     sum  avgPF  win% conf%
    0.0      0.5    -30/0.8     44/1.2   -272/0.4   -361/0.4    531/1.6    725/2.1     636   1.08  54.8  56.4
    0.0      1.0    -56/0.7    -31/0.9   -291/0.5   -443/0.5    574/1.5    883/1.9     636   1.00  53.7  57.1
    0.0      2.0    -75/0.7    -56/0.9   -256/0.6   -409/0.5    663/1.6    933/1.9     799   1.02  54.2  55.6
    0.0     99.0    -75/0.7    -42/0.9   -248/0.6   -409/0.5    590/1.5    933/1.9     749   1.01  54.3  55.7
    0.1      0.5    -36/0.8     58/1.3   -284/0.4   -216/0.6    538/1.6    712/2.1     772   1.11  56.1  62.1
    0.1      1.0    -72/0.6     -3/1.0   -246/0.5   -276/0.6    524/1.5    848/1.9     776   1.01  55.1  66.1
    0.1      2.0    -93/0.6     14/1.0   -217/0.6   -210/0.7    612/1.6    899/1.9    1007   1.06  56.1  64.3
    0.1     99.0    -93/0.6     14/1.0   -209/0.6   -210/0.7    540/1.5    899/1.9     942   1.05  56.1  64.6
    0.2      0.5     -3/1.0    105/1.6   -203/0.4   -111/0.7    563/1.8    297/1.3     648   1.13  56.1  68.2
    0.2      1.0    -23/0.8     63/1.2   -160/0.6   -193/0.6    687/1.9    489/1.4     863   1.10  56.1  74.1
    0.2      2.0    -23/0.8     70/1.2   -111/0.7   -147/0.7    803/2.0    592/1.5    1184   1.18  58.2  73.4
    0.2     99.0    -23/0.8     70/1.2    -99/0.7   -147/0.7    731/1.9    592/1.5    1123   1.16  58.1  73.6
    0.3      0.5     12/1.1     55/1.3   -261/0.2     81/1.4   -225/0.8    360/2.1      22   1.15  55.1  78.7
    0.3      1.0    -15/0.9     58/1.2   -213/0.4    -46/0.9   -126/0.9    151/1.2    -191   0.92  54.6  82.7
    0.3      2.0     -7/0.9     58/1.2   -163/0.6    -39/0.9    -10/1.0    151/1.2     -10   0.97  56.8  82.6
    0.3     99.0     -7/0.9     58/1.2   -144/0.6    -39/0.9    -82/0.9    151/1.2     -63   0.97  56.9  82.8
    0.5      0.5      0/1.0     35/1.3   -189/0.2     63/1.6   -122/0.8    -29/0.9    -242   0.98  55.4  86.5
    0.5      1.0    -27/0.8     23/1.2   -130/0.4    -48/0.8   -315/0.7     -6/1.0    -503   0.80  53.5  88.6
    0.5      2.0    -19/0.8      4/1.0   -113/0.5    -13/0.9   -247/0.7     42/1.1    -346   0.85  55.5  88.4
    0.5     99.0    -19/0.8      4/1.0    -94/0.6    -13/0.9   -319/0.7     42/1.1    -399   0.86  55.7  88.6
