time,open,high,low,close,Volume
1871-01-02,4.5,4.61,4.5,4.61,0
1871-04-03,4.86,4.86,4.82,4.82,0
1871-07-03,4.79,4.84,4.79,4.84,0
1871-10-02,4.64,4.74,4.64,4.74,0
1872-01-01,4.86,5.04,4.86,5.04,0
1872-04-01,5.18,5.18,5.18,5.18,0
1872-07-01,5.1,5.1,5.04,5.04,0
1872-10-01,4.97,4.97,4.95,4.95,0
1873-01-01,5.11,5.11,5.11,5.11,0
1873-04-01,5.04,5.05,5.04,5.05,0
1873-07-01,4.97,4.97,4.59,4.59,0
1873-10-01,4.19,4.42,4.19,4.42,0
1874-01-01,4.66,4.66,4.66,4.66,0
1874-04-01,4.6,4.6,4.46,4.46,0
1874-07-01,4.46,4.54,4.46,4.54,0
1874-10-01,4.53,4.54,4.53,4.54,0
1875-01-01,4.54,4.59,4.53,4.59,0
1875-04-01,4.65,4.65,4.38,4.38,0
1875-07-01,4.39,4.39,4.37,4.37,0
1875-10-01,4.3,4.37,4.3,4.37,0
1876-01-03,4.52,4.52,4.51,4.51,0
1876-04-03,4.18,4.18,4.15,4.15,0
1876-07-03,3.93,3.93,3.69,3.69,0
1876-10-02,3.6,3.6,3.58,3.58,0
1877-01-01,3.55,3.55,3.17,3.17,0
1877-04-02,2.94,2.94,2.73,2.73,0
1877-07-02,3.05,3.05,3.05,3.05,0
1877-10-01,3.31,3.31,3.26,3.26,0
1878-01-01,3.25,3.25,3.18,3.24,0
1878-04-01,3.33,3.34,3.33,3.34,0
1878-07-01,3.48,3.48,3.45,3.45,0
1878-10-01,3.48,3.48,3.47,3.47,0
1879-01-01,3.58,3.58,3.58,3.58,0
1879-04-01,3.77,3.94,3.77,3.94,0
1879-07-01,4.04,4.22,4.04,4.22,0
1879-10-01,4.68,4.92,4.68,4.92,0
1880-01-01,5.11,5.3,5.11,5.3,0
1880-04-01,5.18,5.18,4.79,4.79,0
1880-07-01,5.01,5.18,5.01,5.18,0
1880-10-01,5.33,5.84,5.33,5.84,0
1881-01-03,6.17,6.24,6.17,6.24,0
1881-04-01,6.22,6.58,6.22,6.58,0
1881-07-01,6.35,6.35,6.2,6.25,0
1881-10-03,6.19,6.19,6.01,6.01,0
1882-01-02,5.79,5.79,5.78,5.78,0
1882-04-03,5.71,5.71,5.68,5.68,0
1882-07-03,6.18,6.24,6.18,6.24,0
1882-10-02,5.81,5.84,5.81,5.84,0
1883-01-01,5.81,5.81,5.68,5.75,0
1883-04-02,5.77,5.82,5.77,5.82,0
1883-07-02,5.47,5.47,5.47,5.47,0
1883-10-01,5.38,5.46,5.38,5.46,0
1884-01-01,5.18,5.32,5.18,5.32,0
1884-04-01,5.06,5.06,4.65,4.65,0
1884-07-01,4.46,4.74,4.46,4.59,0
1884-10-01,4.44,4.44,4.34,4.34,0
1885-01-01,4.24,4.24,4.24,4.24,0
1885-04-01,4.37,4.37,4.3,4.3,0
1885-07-01,4.46,4.65,4.46,4.65,0
1885-10-01,4.92,5.2,4.92,5.2,0
1886-01-01,5.2,5.3,5.19,5.19,0
1886-04-01,5.12,5.25,5.12,5.25,0
1886-07-01,5.33,5.51,5.33,5.51,0
1886-10-01,5.65,5.79,5.64,5.64,0
1887-01-03,5.54,5.67,5.54,5.67,0
1887-04-01,5.8,5.8,5.73,5.73,0
1887-07-01,5.59,5.59,5.38,5.38,0
1887-10-03,5.3,5.3,5.27,5.27,0
