tf,sl_mode,sl_value,tp_r,barsN,buf_atr,trail,cost_preset,arm_mode,levels,n_trades,n_long,n_short,win_rate,gross_pnl,total_cost,net_pnl,cost_to_gross_ratio,profit_factor_net,expectancy_R,max_drawdown_net,avg_bars_held,exit_tp,exit_sl,exit_trail,exit_end,same_bar_exit_share,avg_net_per_trade
xau240,pct,0.1,1.0,3,0.5,off,gold_none,latch,pivot,119,44,75,0.8235294117647058,406.82143999999516,0.0,406.82143999999516,0.0,4.946760923440896,0.751959252344647,16.36999000000651,0.03361344537815126,0.8235294117647058,0.17647058823529413,0.0,0.0,0.9663865546218487,3.4186675630251693
xau240,pct,0.1,1.0,3,0.5,off,gold_none,latch,don5,152,69,83,0.8289473684210527,430.65358499999957,0.0,430.65358499999957,0.0,4.188196884787771,0.6277916773418525,25.205000000001746,0.046052631578947366,0.8421052631578947,0.15789473684210525,0.0,0.0,0.9539473684210527,2.833247269736839
xau240,pct,0.1,1.0,3,0.5,off,gold_none,latch,don10,133,54,79,0.8270676691729323,434.1779649999967,0.0,434.1779649999967,0.0,4.354525385511881,0.7201390374167491,32.629939999998896,0.06766917293233082,0.8345864661654135,0.16541353383458646,0.0,0.0,0.9323308270676691,3.264495977443584
xau240,pct,0.1,1.0,3,0.5,off,gold_none,latch,don20,102,40,62,0.8921568627450981,355.7413699999961,0.0,355.7413699999961,0.0,8.490686056099545,0.7843137254901879,16.360779999988154,0.00980392156862745,0.8921568627450981,0.10784313725490197,0.0,0.0,0.9901960784313726,3.48766049019604
xau240,pct,0.1,1.0,3,0.5,off,gold_none,latch,don50,56,24,32,0.9285714285714286,215.1892649999977,0.0,215.1892649999977,0.0,13.3887370284543,0.8571428571428475,4.668619999996736,0.017857142857142856,0.9285714285714286,0.07142857142857142,0.0,0.0,0.9821428571428571,3.8426654464285304
xau240,pct,0.1,1.0,3,0.5,off,gold_none,hold,pivot,127,50,77,0.8188976377952756,404.14263999999457,0.0,404.14263999999457,0.0,4.041799176256837,0.7020097002336639,29.99998000000778,0.03937007874015748,0.8188976377952756,0.18110236220472442,0.0,0.0,0.9606299212598425,3.182225511810981
xau240,pct,0.1,1.0,3,0.5,off,gold_none,hold,don5,216,95,121,0.8148148148148148,547.3113200000021,0.0,547.3113200000021,0.0,3.2728377996046407,0.5642278954805042,47.69021000000066,0.046296296296296294,0.8194444444444444,0.18055555555555555,0.0,0.0,0.9537037037037037,2.5338487037037134
xau240,pct,0.1,1.0,3,0.5,off,gold_none,hold,don10,156,68,88,0.8397435897435898,519.6265199999971,0.0,519.6265199999971,0.0,4.765657061663431,0.7357595639514596,32.629939999998896,0.0641025641025641,0.8461538461538461,0.15384615384615385,0.0,0.0,0.9358974358974359,3.330939230769212
xau240,pct,0.1,1.0,3,0.5,off,gold_none,hold,don20,114,48,66,0.8771929824561403,383.4246299999968,0.0,383.4246299999968,0.0,7.340520117455729,0.7543859649122746,16.360779999988154,0.008771929824561403,0.8771929824561403,0.12280701754385964,0.0,0.0,0.9912280701754386,3.363373947368393
xau240,pct,0.1,1.0,3,0.5,off,gold_none,hold,don50,62,28,34,0.9193548387096774,234.20347499999752,0.0,234.20347499999752,0.0,11.973032836617714,0.8387096774193455,4.668619999996736,0.016129032258064516,0.9193548387096774,0.08064516129032258,0.0,0.0,0.9838709677419355,3.7774754032257665
