tf,sl_mode,sl_value,tp_r,barsN,buf_atr,trail,cost_preset,arm_mode,levels,n_trades,n_long,n_short,win_rate,gross_pnl,total_cost,net_pnl,cost_to_gross_ratio,profit_factor_net,expectancy_R,max_drawdown_net,avg_bars_held,exit_tp,exit_sl,exit_trail,exit_end,same_bar_exit_share,avg_net_per_trade
spx120,pct,0.1,1.0,3,0.5,off,spx_none,latch,pivot,300,165,135,0.64,302.7369399999943,0.0,302.7369399999943,0.0,1.2240667948134794,0.17041091861549285,135.97725999999966,0.25666666666666665,0.6933333333333334,0.30666666666666664,0.0,0.0,0.7533333333333333,1.0091231333333144
spx120,pct,0.1,1.0,3,0.5,off,spx_none,latch,don10,366,205,161,0.6530054644808743,567.6485999999986,0.0,567.6485999999986,0.0,1.3719214878846053,0.2565774185208891,144.96537000000535,0.2568306010928962,0.6912568306010929,0.3087431693989071,0.0,0.0,0.7513661202185792,1.5509524590163897
spx120,pct,0.1,1.0,3,0.5,off,spx_none,latch,don20,288,170,118,0.6527777777777778,666.2705099999912,0.0,666.2705099999912,0.0,1.5911663697246856,0.3831370485729567,105.62943000000087,0.28125,0.6805555555555556,0.3194444444444444,0.0,0.0,0.7291666666666666,2.3134392708333027
spx120,pct,0.1,1.0,3,0.5,off,spx_none,hold,pivot,326,183,143,0.6411042944785276,376.143849999994,0.0,376.143849999994,0.0,1.251631690783817,0.19259341637073668,130.77499999999418,0.26380368098159507,0.696319018404908,0.30368098159509205,0.0,0.0,0.745398773006135,1.1538154907975278
spx120,pct,0.1,1.0,3,0.5,off,spx_none,hold,don10,430,235,195,0.6465116279069767,651.4809899999991,0.0,651.4809899999991,0.0,1.3669338710335843,0.2533606469875549,149.33452000000398,0.2534883720930233,0.686046511627907,0.313953488372093,0.0,0.0,0.7534883720930232,1.5150720697674398
spx120,pct,0.1,1.0,3,0.5,off,spx_none,hold,don20,317,183,134,0.6561514195583596,791.338549999994,0.0,791.338549999994,0.0,1.6571760250545453,0.40788440841202717,99.13473000000522,0.277602523659306,0.6845425867507886,0.31545741324921134,0.0,0.0,0.7318611987381703,2.4963361198737983
spx120,pct,0.1,1.0,3,0.5,off,spx_cfd,latch,pivot,300,165,135,0.6366666666666667,301.12427000000844,137.55000000014297,163.57426999986546,0.04580681653989104,1.1150673873362023,0.09555189654430145,156.7173300000286,0.25666666666666665,0.69,0.31,0.0,0.0,0.7533333333333333,0.5452475666662182
spx120,pct,0.1,1.0,3,0.5,off,spx_cfd,latch,don10,366,205,161,0.639344262295082,559.7725900000169,168.350000000175,391.4225899998419,0.04654847457363335,1.2424925264076234,0.1780050865635428,159.66572000001906,0.2568306010928962,0.6857923497267759,0.31420765027322406,0.0,0.0,0.7513661202185792,1.0694606284148684
spx120,pct,0.1,1.0,3,0.5,off,spx_cfd,latch,don20,288,170,118,0.6458333333333334,681.5302100000044,133.00000000013824,548.5302099998662,0.045572815008605,1.4625413416244026,0.31629111035000534,118.22838000001502,0.28125,0.6805555555555556,0.3194444444444444,0.0,0.0,0.7291666666666666,1.9046187847217577
spx120,pct,0.1,1.0,3,0.5,off,spx_cfd,hold,pivot,326,183,143,0.6380368098159509,375.23188000000937,149.10000000015498,226.1318799998544,0.04431734366352731,1.1439532999591104,0.11845245965242142,156.6739500000258,0.26380368098159507,0.6932515337423313,0.3067484662576687,0.0,0.0,0.745398773006135,0.6936560736191852
spx120,pct,0.1,1.0,3,0.5,off,spx_cfd,hold,don10,430,235,195,0.6348837209302326,646.7560300000214,198.45000000020627,448.3060299998151,0.047273992339061086,1.2387494293096213,0.1765421367413261,167.88417000003392,0.2534883720930233,0.6813953488372093,0.3186046511627907,0.0,0.0,0.7534883720930232,1.0425721627902678
spx120,pct,0.1,1.0,3,0.5,off,spx_cfd,hold,don20,317,183,134,0.6498422712933754,807.2975500000084,145.9500000001517,661.3475499998567,0.04564237058290392,1.521315991046985,0.34075257593931735,113.13368000001356,0.277602523659306,0.6845425867507886,0.31545741324921134,0.0,0.0,0.7318611987381703,2.086269873816583
spx120,pct,0.1,1.0,3,0.5,bar,spx_none,latch,pivot,300,165,135,0.64,302.7369399999943,0.0,302.7369399999943,0.0,1.2240667948134794,0.17041091861549285,135.97725999999966,0.25666666666666665,0.6933333333333334,0.30666666666666664,0.0,0.0,0.7533333333333333,1.0091231333333144
spx120,pct,0.1,1.0,3,0.5,bar,spx_none,latch,don10,366,205,161,0.6530054644808743,567.6485999999986,0.0,567.6485999999986,0.0,1.3719214878846053,0.2565774185208891,144.96537000000535,0.2568306010928962,0.6912568306010929,0.3087431693989071,0.0,0.0,0.7513661202185792,1.5509524590163897
spx120,pct,0.1,1.0,3,0.5,bar,spx_none,latch,don20,288,170,118,0.6527777777777778,666.2705099999912,0.0,666.2705099999912,0.0,1.5911663697246856,0.3831370485729567,105.62943000000087,0.28125,0.6805555555555556,0.3194444444444444,0.0,0.0,0.7291666666666666,2.3134392708333027
spx120,pct,0.1,1.0,3,0.5,bar,spx_none,hold,pivot,326,183,143,0.6411042944785276,376.143849999994,0.0,376.143849999994,0.0,1.251631690783817,0.19259341637073668,130.77499999999418,0.26380368098159507,0.696319018404908,0.30368098159509205,0.0,0.0,0.745398773006135,1.1538154907975278
spx120,pct,0.1,1.0,3,0.5,bar,spx_none,hold,don10,430,235,195,0.6465116279069767,651.4809899999991,0.0,651.4809899999991,0.0,1.3669338710335843,0.2533606469875549,149.33452000000398,0.2534883720930233,0.686046511627907,0.313953488372093,0.0,0.0,0.7534883720930232,1.5150720697674398
spx120,pct,0.1,1.0,3,0.5,bar,spx_none,hold,don20,317,183,134,0.6561514195583596,791.338549999994,0.0,791.338549999994,0.0,1.6571760250545453,0.40788440841202717,99.13473000000522,0.277602523659306,0.6845425867507886,0.31545741324921134,0.0,0.0,0.7318611987381703,2.4963361198737983
spx120,pct,0.1,1.0,3,0.5,bar,spx_cfd,latch,pivot,300,165,135,0.6366666666666667,301.12427000000844,137.55000000014297,163.57426999986546,0.04580681653989104,1.1150673873362023,0.09555189654430145,156.7173300000286,0.25666666666666665,0.69,0.31,0.0,0.0,0.7533333333333333,0.5452475666662182
spx120,pct,0.1,1.0,3,0.5,bar,spx_cfd,latch,don10,366,205,161,0.639344262295082,559.7725900000169,168.350000000175,391.4225899998419,0.04654847457363335,1.2424925264076234,0.1780050865635428,159.66572000001906,0.2568306010928962,0.6857923497267759,0.31420765027322406,0.0,0.0,0.7513661202185792,1.0694606284148684
spx120,pct,0.1,1.0,3,0.5,bar,spx_cfd,latch,don20,288,170,118,0.6458333333333334,681.5302100000044,133.00000000013824,548.5302099998662,0.045572815008605,1.4625413416244026,0.31629111035000534,118.22838000001502,0.28125,0.6805555555555556,0.3194444444444444,0.0,0.0,0.7291666666666666,1.9046187847217577
spx120,pct,0.1,1.0,3,0.5,bar,spx_cfd,hold,pivot,326,183,143,0.6380368098159509,375.23188000000937,149.10000000015498,226.1318799998544,0.04431734366352731,1.1439532999591104,0.11845245965242142,156.6739500000258,0.26380368098159507,0.6932515337423313,0.3067484662576687,0.0,0.0,0.745398773006135,0.6936560736191852
spx120,pct,0.1,1.0,3,0.5,bar,spx_cfd,hold,don10,430,235,195,0.6348837209302326,646.7560300000214,198.45000000020627,448.3060299998151,0.047273992339061086,1.2387494293096213,0.1765421367413261,167.88417000003392,0.2534883720930233,0.6813953488372093,0.3186046511627907,0.0,0.0,0.7534883720930232,1.0425721627902678
spx120,pct,0.1,1.0,3,0.5,bar,spx_cfd,hold,don20,317,183,134,0.6498422712933754,807.2975500000084,145.9500000001517,661.3475499998567,0.04564237058290392,1.521315991046985,0.34075257593931735,113.13368000001356,0.277602523659306,0.6845425867507886,0.31545741324921134,0.0,0.0,0.7318611987381703,2.086269873816583
spx120,pct,0.1,1.0,3,0.5,tick,spx_none,latch,pivot,300,165,135,0.64,302.7369399999943,0.0,302.7369399999943,0.0,1.2240667948134794,0.17041091861549285,135.97725999999966,0.25666666666666665,0.6933333333333334,0.30666666666666664,0.0,0.0,0.7533333333333333,1.0091231333333144
spx120,pct,0.1,1.0,3,0.5,tick,spx_none,latch,don10,366,205,161,0.6530054644808743,567.6485999999986,0.0,567.6485999999986,0.0,1.3719214878846053,0.2565774185208891,144.96537000000535,0.2568306010928962,0.6912568306010929,0.3087431693989071,0.0,0.0,0.7513661202185792,1.5509524590163897
spx120,pct,0.1,1.0,3,0.5,tick,spx_none,latch,don20,288,170,118,0.6527777777777778,666.2705099999912,0.0,666.2705099999912,0.0,1.5911663697246856,0.3831370485729567,105.62943000000087,0.28125,0.6805555555555556,0.3194444444444444,0.0,0.0,0.7291666666666666,2.3134392708333027
spx120,pct,0.1,1.0,3,0.5,tick,spx_none,hold,pivot,326,183,143,0.6411042944785276,376.143849999994,0.0,376.143849999994,0.0,1.251631690783817,0.19259341637073668,130.77499999999418,0.26380368098159507,0.696319018404908,0.30368098159509205,0.0,0.0,0.745398773006135,1.1538154907975278
spx120,pct,0.1,1.0,3,0.5,tick,spx_none,hold,don10,430,235,195,0.6465116279069767,651.4809899999991,0.0,651.4809899999991,0.0,1.3669338710335843,0.2533606469875549,149.33452000000398,0.2534883720930233,0.686046511627907,0.313953488372093,0.0,0.0,0.7534883720930232,1.5150720697674398
spx120,pct,0.1,1.0,3,0.5,tick,spx_none,hold,don20,317,183,134,0.6561514195583596,791.338549999994,0.0,791.338549999994,0.0,1.6571760250545453,0.40788440841202717,99.13473000000522,0.277602523659306,0.6845425867507886,0.31545741324921134,0.0,0.0,0.7318611987381703,2.4963361198737983
spx120,pct,0.1,1.0,3,0.5,tick,spx_cfd,latch,pivot,300,165,135,0.6366666666666667,301.12427000000844,137.55000000014297,163.57426999986546,0.04580681653989104,1.1150673873362023,0.09555189654430145,156.7173300000286,0.25666666666666665,0.69,0.31,0.0,0.0,0.7533333333333333,0.5452475666662182
spx120,pct,0.1,1.0,3,0.5,tick,spx_cfd,latch,don10,366,205,161,0.639344262295082,559.7725900000169,168.350000000175,391.4225899998419,0.04654847457363335,1.2424925264076234,0.1780050865635428,159.66572000001906,0.2568306010928962,0.6857923497267759,0.31420765027322406,0.0,0.0,0.7513661202185792,1.0694606284148684
spx120,pct,0.1,1.0,3,0.5,tick,spx_cfd,latch,don20,288,170,118,0.6458333333333334,681.5302100000044,133.00000000013824,548.5302099998662,0.045572815008605,1.4625413416244026,0.31629111035000534,118.22838000001502,0.28125,0.6805555555555556,0.3194444444444444,0.0,0.0,0.7291666666666666,1.9046187847217577
spx120,pct,0.1,1.0,3,0.5,tick,spx_cfd,hold,pivot,326,183,143,0.6380368098159509,375.23188000000937,149.10000000015498,226.1318799998544,0.04431734366352731,1.1439532999591104,0.11845245965242142,156.6739500000258,0.26380368098159507,0.6932515337423313,0.3067484662576687,0.0,0.0,0.745398773006135,0.6936560736191852
spx120,pct,0.1,1.0,3,0.5,tick,spx_cfd,hold,don10,430,235,195,0.6348837209302326,646.7560300000214,198.45000000020627,448.3060299998151,0.047273992339061086,1.2387494293096213,0.1765421367413261,167.88417000003392,0.2534883720930233,0.6813953488372093,0.3186046511627907,0.0,0.0,0.7534883720930232,1.0425721627902678
spx120,pct,0.1,1.0,3,0.5,tick,spx_cfd,hold,don20,317,183,134,0.6498422712933754,807.2975500000084,145.9500000001517,661.3475499998567,0.04564237058290392,1.521315991046985,0.34075257593931735,113.13368000001356,0.277602523659306,0.6845425867507886,0.31545741324921134,0.0,0.0,0.7318611987381703,2.086269873816583
spx120,pct,0.1,1.0,3,1.0,off,spx_none,latch,pivot,220,115,105,0.6409090909090909,147.25484999999844,0.0,147.25484999999844,0.0,1.138077007976067,0.11232231771805408,172.40145999999368,0.2318181818181818,0.6818181818181818,0.3181818181818182,0.0,0.0,0.7727272727272727,0.6693402272727201
spx120,pct,0.1,1.0,3,1.0,off,spx_none,latch,don10,236,116,120,0.6271186440677966,196.6095099999966,0.0,196.6095099999966,0.0,1.1730766164932755,0.13087308211121998,141.10512000000745,0.23728813559322035,0.6610169491525424,0.3389830508474576,0.0,0.0,0.7669491525423728,0.8330911440677822
spx120,pct,0.1,1.0,3,1.0,off,spx_none,latch,don20,201,102,99,0.6318407960199005,354.41730999999254,0.0,354.41730999999254,0.0,1.3945677246317103,0.29984549082346873,102.3971700000111,0.25870646766169153,0.6666666666666666,0.3333333333333333,0.0,0.0,0.746268656716418,1.763270199004938
spx120,pct,0.1,1.0,3,1.0,off,spx_none,hold,pivot,278,150,128,0.6402877697841727,222.65734999999768,0.0,222.65734999999768,0.0,1.16485371816342,0.1373847690307825,132.5411999999924,0.2517985611510791,0.6870503597122302,0.3129496402877698,0.0,0.0,0.7517985611510791,0.8009257194244521
spx120,pct,0.1,1.0,3,1.0,off,spx_none,hold,don10,333,168,165,0.6246246246246246,302.77246999999807,0.0,302.77246999999807,0.0,1.2021203821899207,0.15646023273778745,134.0471799999941,0.25225225225225223,0.6576576576576577,0.34234234234234234,0.0,0.0,0.7537537537537538,0.9092266366366308
spx120,pct,0.1,1.0,3,1.0,off,spx_none,hold,don20,249,129,120,0.6345381526104418,489.78900999999314,0.0,489.78900999999314,0.0,1.4667953302150152,0.3306078081036795,114.21722999999474,0.26907630522088355,0.6626506024096386,0.3373493975903614,0.0,0.0,0.7389558232931727,1.9670241365461572
spx120,pct,0.1,1.0,3,1.0,off,spx_cfd,latch,pivot,220,115,105,0.6409090909090909,155.86700000000747,101.5000000001055,54.366999999901964,0.04455886595399189,1.0488402688739131,0.04299820265568192,202.9889600000315,0.2318181818181818,0.6818181818181818,0.3181818181818182,0.0,0.0,0.7727272727272727,0.24712272727228166
spx120,pct,0.1,1.0,3,1.0,off,spx_cfd,latch,don10,236,116,120,0.6228813559322034,206.62096000000838,110.60000000011496,96.02095999989342,0.04487108306587447,1.0808283202092492,0.060710019691084,174.46492000004218,0.23728813559322035,0.6610169491525424,0.3389830508474576,0.0,0.0,0.7669491525423728,0.4068684745758196
spx120,pct,0.1,1.0,3,1.0,off,spx_cfd,latch,don20,201,102,99,0.6318407960199005,364.0763100000022,93.8000000000975,270.2763099999047,0.04367779209417427,1.2871967750977777,0.2316176149719539,121.2982200000115,0.25870646766169153,0.6666666666666666,0.3333333333333333,0.0,0.0,0.746268656716418,1.3446582587059934
spx120,pct,0.1,1.0,3,1.0,off,spx_cfd,hold,pivot,278,150,128,0.6366906474820144,219.2950300000084,128.10000000013315,91.19502999987526,0.04384781702209881,1.0643470774161667,0.06147562807209759,158.35818000003928,0.2517985611510791,0.6834532374100719,0.31654676258992803,0.0,0.0,0.7517985611510791,0.3280396762585441
spx120,pct,0.1,1.0,3,1.0,off,spx_cfd,hold,don10,333,168,165,0.6126126126126126,293.4964600000176,157.15000000016335,136.34645999985423,0.04773080668184506,1.0860385660925844,0.07556798397383523,144.19648000001325,0.25225225225225223,0.6516516516516516,0.3483483483483483,0.0,0.0,0.7537537537537538,0.40944882882839106
spx120,pct,0.1,1.0,3,1.0,off,spx_cfd,hold,don20,249,129,120,0.6305220883534136,501.5473100000054,116.55000000012114,384.99730999988424,0.04508790069033054,1.3490142829516854,0.2622145618202752,127.51618000000599,0.26907630522088355,0.6626506024096386,0.3373493975903614,0.0,0.0,0.7389558232931727,1.546173935742507
spx120,pct,0.1,1.0,3,1.0,bar,spx_none,latch,pivot,220,115,105,0.6409090909090909,147.25484999999844,0.0,147.25484999999844,0.0,1.138077007976067,0.11232231771805408,172.40145999999368,0.2318181818181818,0.6818181818181818,0.3181818181818182,0.0,0.0,0.7727272727272727,0.6693402272727201
spx120,pct,0.1,1.0,3,1.0,bar,spx_none,latch,don10,236,116,120,0.6271186440677966,196.6095099999966,0.0,196.6095099999966,0.0,1.1730766164932755,0.13087308211121998,141.10512000000745,0.23728813559322035,0.6610169491525424,0.3389830508474576,0.0,0.0,0.7669491525423728,0.8330911440677822
spx120,pct,0.1,1.0,3,1.0,bar,spx_none,latch,don20,201,102,99,0.6318407960199005,354.41730999999254,0.0,354.41730999999254,0.0,1.3945677246317103,0.29984549082346873,102.3971700000111,0.25870646766169153,0.6666666666666666,0.3333333333333333,0.0,0.0,0.746268656716418,1.763270199004938
spx120,pct,0.1,1.0,3,1.0,bar,spx_none,hold,pivot,278,150,128,0.6402877697841727,222.65734999999768,0.0,222.65734999999768,0.0,1.16485371816342,0.1373847690307825,132.5411999999924,0.2517985611510791,0.6870503597122302,0.3129496402877698,0.0,0.0,0.7517985611510791,0.8009257194244521
spx120,pct,0.1,1.0,3,1.0,bar,spx_none,hold,don10,333,168,165,0.6246246246246246,302.77246999999807,0.0,302.77246999999807,0.0,1.2021203821899207,0.15646023273778745,134.0471799999941,0.25225225225225223,0.6576576576576577,0.34234234234234234,0.0,0.0,0.7537537537537538,0.9092266366366308
spx120,pct,0.1,1.0,3,1.0,bar,spx_none,hold,don20,249,129,120,0.6345381526104418,489.78900999999314,0.0,489.78900999999314,0.0,1.4667953302150152,0.3306078081036795,114.21722999999474,0.26907630522088355,0.6626506024096386,0.3373493975903614,0.0,0.0,0.7389558232931727,1.9670241365461572
spx120,pct,0.1,1.0,3,1.0,bar,spx_cfd,latch,pivot,220,115,105,0.6409090909090909,155.86700000000747,101.5000000001055,54.366999999901964,0.04455886595399189,1.0488402688739131,0.04299820265568192,202.9889600000315,0.2318181818181818,0.6818181818181818,0.3181818181818182,0.0,0.0,0.7727272727272727,0.24712272727228166
spx120,pct,0.1,1.0,3,1.0,bar,spx_cfd,latch,don10,236,116,120,0.6228813559322034,206.62096000000838,110.60000000011496,96.02095999989342,0.04487108306587447,1.0808283202092492,0.060710019691084,174.46492000004218,0.23728813559322035,0.6610169491525424,0.3389830508474576,0.0,0.0,0.7669491525423728,0.4068684745758196
spx120,pct,0.1,1.0,3,1.0,bar,spx_cfd,latch,don20,201,102,99,0.6318407960199005,364.0763100000022,93.8000000000975,270.2763099999047,0.04367779209417427,1.2871967750977777,0.2316176149719539,121.2982200000115,0.25870646766169153,0.6666666666666666,0.3333333333333333,0.0,0.0,0.746268656716418,1.3446582587059934
spx120,pct,0.1,1.0,3,1.0,bar,spx_cfd,hold,pivot,278,150,128,0.6366906474820144,219.2950300000084,128.10000000013315,91.19502999987526,0.04384781702209881,1.0643470774161667,0.06147562807209759,158.35818000003928,0.2517985611510791,0.6834532374100719,0.31654676258992803,0.0,0.0,0.7517985611510791,0.3280396762585441
spx120,pct,0.1,1.0,3,1.0,bar,spx_cfd,hold,don10,333,168,165,0.6126126126126126,293.4964600000176,157.15000000016335,136.34645999985423,0.04773080668184506,1.0860385660925844,0.07556798397383523,144.19648000001325,0.25225225225225223,0.6516516516516516,0.3483483483483483,0.0,0.0,0.7537537537537538,0.40944882882839106
spx120,pct,0.1,1.0,3,1.0,bar,spx_cfd,hold,don20,249,129,120,0.6305220883534136,501.5473100000054,116.55000000012114,384.99730999988424,0.04508790069033054,1.3490142829516854,0.2622145618202752,127.51618000000599,0.26907630522088355,0.6626506024096386,0.3373493975903614,0.0,0.0,0.7389558232931727,1.546173935742507
spx120,pct,0.1,1.0,3,1.0,tick,spx_none,latch,pivot,220,115,105,0.6409090909090909,147.25484999999844,0.0,147.25484999999844,0.0,1.138077007976067,0.11232231771805408,172.40145999999368,0.2318181818181818,0.6818181818181818,0.3181818181818182,0.0,0.0,0.7727272727272727,0.6693402272727201
spx120,pct,0.1,1.0,3,1.0,tick,spx_none,latch,don10,236,116,120,0.6271186440677966,196.6095099999966,0.0,196.6095099999966,0.0,1.1730766164932755,0.13087308211121998,141.10512000000745,0.23728813559322035,0.6610169491525424,0.3389830508474576,0.0,0.0,0.7669491525423728,0.8330911440677822
spx120,pct,0.1,1.0,3,1.0,tick,spx_none,latch,don20,201,102,99,0.6318407960199005,354.41730999999254,0.0,354.41730999999254,0.0,1.3945677246317103,0.29984549082346873,102.3971700000111,0.25870646766169153,0.6666666666666666,0.3333333333333333,0.0,0.0,0.746268656716418,1.763270199004938
spx120,pct,0.1,1.0,3,1.0,tick,spx_none,hold,pivot,278,150,128,0.6402877697841727,222.65734999999768,0.0,222.65734999999768,0.0,1.16485371816342,0.1373847690307825,132.5411999999924,0.2517985611510791,0.6870503597122302,0.3129496402877698,0.0,0.0,0.7517985611510791,0.8009257194244521
spx120,pct,0.1,1.0,3,1.0,tick,spx_none,hold,don10,333,168,165,0.6246246246246246,302.77246999999807,0.0,302.77246999999807,0.0,1.2021203821899207,0.15646023273778745,134.0471799999941,0.25225225225225223,0.6576576576576577,0.34234234234234234,0.0,0.0,0.7537537537537538,0.9092266366366308
spx120,pct,0.1,1.0,3,1.0,tick,spx_none,hold,don20,249,129,120,0.6345381526104418,489.78900999999314,0.0,489.78900999999314,0.0,1.4667953302150152,0.3306078081036795,114.21722999999474,0.26907630522088355,0.6626506024096386,0.3373493975903614,0.0,0.0,0.7389558232931727,1.9670241365461572
spx120,pct,0.1,1.0,3,1.0,tick,spx_cfd,latch,pivot,220,115,105,0.6409090909090909,155.86700000000747,101.5000000001055,54.366999999901964,0.04455886595399189,1.0488402688739131,0.04299820265568192,202.9889600000315,0.2318181818181818,0.6818181818181818,0.3181818181818182,0.0,0.0,0.7727272727272727,0.24712272727228166
spx120,pct,0.1,1.0,3,1.0,tick,spx_cfd,latch,don10,236,116,120,0.6228813559322034,206.62096000000838,110.60000000011496,96.02095999989342,0.04487108306587447,1.0808283202092492,0.060710019691084,174.46492000004218,0.23728813559322035,0.6610169491525424,0.3389830508474576,0.0,0.0,0.7669491525423728,0.4068684745758196
spx120,pct,0.1,1.0,3,1.0,tick,spx_cfd,latch,don20,201,102,99,0.6318407960199005,364.0763100000022,93.8000000000975,270.2763099999047,0.04367779209417427,1.2871967750977777,0.2316176149719539,121.2982200000115,0.25870646766169153,0.6666666666666666,0.3333333333333333,0.0,0.0,0.746268656716418,1.3446582587059934
spx120,pct,0.1,1.0,3,1.0,tick,spx_cfd,hold,pivot,278,150,128,0.6366906474820144,219.2950300000084,128.10000000013315,91.19502999987526,0.04384781702209881,1.0643470774161667,0.06147562807209759,158.35818000003928,0.2517985611510791,0.6834532374100719,0.31654676258992803,0.0,0.0,0.7517985611510791,0.3280396762585441
spx120,pct,0.1,1.0,3,1.0,tick,spx_cfd,hold,don10,333,168,165,0.6126126126126126,293.4964600000176,157.15000000016335,136.34645999985423,0.04773080668184506,1.0860385660925844,0.07556798397383523,144.19648000001325,0.25225225225225223,0.6516516516516516,0.3483483483483483,0.0,0.0,0.7537537537537538,0.40944882882839106
spx120,pct,0.1,1.0,3,1.0,tick,spx_cfd,hold,don20,249,129,120,0.6305220883534136,501.5473100000054,116.55000000012114,384.99730999988424,0.04508790069033054,1.3490142829516854,0.2622145618202752,127.51618000000599,0.26907630522088355,0.6626506024096386,0.3373493975903614,0.0,0.0,0.7389558232931727,1.546173935742507
