tf,sl_mode,sl_value,tp_r,barsN,buf_atr,trail,cost_preset,arm_mode,levels,n_trades,n_long,n_short,win_rate,gross_pnl,total_cost,net_pnl,cost_to_gross_ratio,profit_factor_net,expectancy_R,max_drawdown_net,avg_bars_held,exit_tp,exit_sl,exit_trail,exit_end,same_bar_exit_share,avg_net_per_trade
spx1W,pct,0.1,1.0,3,0.5,off,spx_none,latch,pivot,309,172,137,0.9320388349514563,377.7355499930027,0.0,377.7355499930027,0.0,6.5831953801239305,0.8173239618783897,21.52031999999599,0.012944983818770227,0.9352750809061489,0.06472491909385113,0.0,0.0,0.9870550161812298,1.2224451456084229
spx1W,pct,0.1,1.0,3,0.5,off,spx_none,latch,don10,414,273,141,0.927536231884058,454.5338519850029,0.0,454.5338519850029,0.0,5.142761223712253,0.8166457760719474,45.73167999999714,0.00966183574879227,0.927536231884058,0.07246376811594203,0.0,0.0,0.9903381642512077,1.0979078550362389
spx1W,pct,0.1,1.0,3,0.5,off,spx_none,latch,don20,350,263,87,0.9371428571428572,441.4147999790042,0.0,441.4147999790042,0.0,7.282272062293691,0.8840194158975035,15.63810999999987,0.014285714285714285,0.9371428571428572,0.06285714285714286,0.0,0.0,0.9857142857142858,1.261185142797155
spx1W,pct,0.1,1.0,3,0.5,off,spx_none,hold,pivot,335,191,144,0.9283582089552239,359.22888998900294,0.0,359.22888998900294,0.0,4.373137822185312,0.7381775199949331,36.739849999998114,0.011940298507462687,0.9313432835820895,0.06865671641791045,0.0,0.0,0.9880597014925373,1.0723250447432924
spx1W,pct,0.1,1.0,3,0.5,off,spx_none,hold,don10,507,342,165,0.9211045364891519,590.1119019800042,0.0,590.1119019800042,0.0,5.579037797083456,0.8089499532039379,45.73167999999714,0.011834319526627219,0.9211045364891519,0.07889546351084813,0.0,0.0,0.9881656804733728,1.1639288007495152
spx1W,pct,0.1,1.0,3,0.5,off,spx_none,hold,don20,398,303,95,0.9271356783919598,531.1021899790045,0.0,531.1021899790045,0.0,5.983414241002175,0.8476575521889221,18.61981000000378,0.01507537688442211,0.9271356783919598,0.0728643216080402,0.0,0.0,0.9849246231155779,1.334427613012574
spx1W,pct,0.1,1.0,3,0.5,off,spx_cfd,latch,pivot,309,172,137,0.6343042071197411,378.33999999300283,115.14999999999975,263.1899999930031,0.22438371935261112,3.6480533902304275,-0.3553572916025511,30.313100006998866,0.012944983818770227,0.9352750809061489,0.06472491909385113,0.0,0.0,0.9870550161812298,0.8517475727928903
spx1W,pct,0.1,1.0,3,0.5,off,spx_cfd,latch,don10,414,273,141,0.6376811594202898,455.34724198500305,155.39999999999804,299.947241985005,0.23059925097712167,2.960909364802102,-0.30748301920992915,46.43168000000878,0.00966183574879227,0.927536231884058,0.07246376811594203,0.0,0.0,0.9903381642512077,0.7245102463405918
spx1W,pct,0.1,1.0,3,0.5,off,spx_cfd,latch,don20,350,263,87,0.6342857142857142,442.235899979004,130.20000000000016,312.03589997900383,0.22377996607129064,3.9782397794797033,-0.17160707698498226,27.359130020995508,0.014285714285714285,0.9371428571428572,0.06285714285714286,0.0,0.0,0.9857142857142858,0.8915311427971538
spx1W,pct,0.1,1.0,3,0.5,off,spx_cfd,hold,pivot,335,191,144,0.6268656716417911,359.8333399890031,125.29999999999859,234.5333399890045,0.21891853058325783,2.6481167336796863,-0.4717534312648199,41.672019999998156,0.011940298507462687,0.9313432835820895,0.06865671641791045,0.0,0.0,0.9880597014925373,0.7000995223552373
spx1W,pct,0.1,1.0,3,0.5,off,spx_cfd,hold,don10,507,342,165,0.621301775147929,590.4508019800043,191.79999999999666,398.6508019800076,0.22629408473240706,3.137750463720402,-0.391812511380245,52.59707802000048,0.011834319526627219,0.9191321499013807,0.08086785009861933,0.0,0.0,0.9881656804733728,0.7862934950296008
spx1W,pct,0.1,1.0,3,0.5,off,spx_cfd,hold,don20,398,303,95,0.6306532663316583,531.9232899790043,149.44999999999973,382.47328997900456,0.20083864143069716,3.578749311104609,-0.2283118260252772,34.243050021003,0.01507537688442211,0.9271356783919598,0.0728643216080402,0.0,0.0,0.9849246231155779,0.9609881657763933
spx1W,pct,0.1,1.0,3,0.5,bar,spx_none,latch,pivot,309,172,137,0.9320388349514563,377.7355499930027,0.0,377.7355499930027,0.0,6.5831953801239305,0.8173239618783897,21.52031999999599,0.012944983818770227,0.9352750809061489,0.06472491909385113,0.0,0.0,0.9870550161812298,1.2224451456084229
spx1W,pct,0.1,1.0,3,0.5,bar,spx_none,latch,don10,414,273,141,0.927536231884058,454.5338519850029,0.0,454.5338519850029,0.0,5.142761223712253,0.8166457760719474,45.73167999999714,0.00966183574879227,0.927536231884058,0.07246376811594203,0.0,0.0,0.9903381642512077,1.0979078550362389
spx1W,pct,0.1,1.0,3,0.5,bar,spx_none,latch,don20,350,263,87,0.9371428571428572,441.4147999790042,0.0,441.4147999790042,0.0,7.282272062293691,0.8840194158975035,15.63810999999987,0.014285714285714285,0.9371428571428572,0.06285714285714286,0.0,0.0,0.9857142857142858,1.261185142797155
