Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2018-09-10,Max Bars Exit,1195.82,1,1191.31,-4.51,-0.38,0,0.46,0.04,-15.64,-1.31,-4.51,0.00,4
1,Entry short,2018-09-04,Short,1191.31,1,1191.31,-4.51,-0.38,0,0.46,0.04,-15.64,-1.31,-4.51,0.00,4
2,Exit short,2018-11-12,Exit Short,1200.39,1,1209.26,8.87,0.73,0,9.02,0.75,-2.18,-0.18,4.36,0.00,1
2,Entry short,2018-11-09,Short,1209.26,1,1209.26,8.87,0.73,0,9.02,0.75,-2.18,-0.18,4.36,0.00,1
3,Exit long,2019-01-28,Exit Long,1304.25,1,1302.49,1.76,0.14,0,1.9,0.15,-0.05,0.00,6.12,0.01,1
3,Entry long,2019-01-25,Long,1302.49,1,1302.49,1.76,0.14,0,1.9,0.15,-0.05,0.00,6.12,0.01,1
4,Exit long,2019-03-20,Exit Long,1316.73,1,1306.5,10.23,0.78,0,10.38,0.79,-7.88,-0.60,16.35,0.02,1
4,Entry long,2019-03-19,Long,1306.5,1,1306.5,10.23,0.78,0,10.38,0.79,-7.88,-0.60,16.35,0.02,1
5,Exit long,2019-04-11,Exit Long,1308.99,1,1307.91,1.08,0.08,0,1.23,0.09,-0.05,0.00,17.43,0.02,1
5,Entry long,2019-04-10,Long,1307.91,1,1307.91,1.08,0.08,0,1.23,0.09,-0.05,0.00,17.43,0.02,1
6,Exit long,2019-10-10,Exit Long,1516.75,1,1505.42,11.33,0.75,0,11.58,0.77,-0.06,0.00,28.76,0.03,1
6,Entry long,2019-10-09,Long,1505.42,1,1505.42,11.33,0.75,0,11.58,0.77,-0.06,0.00,28.76,0.03,1
7,Exit long,2019-10-25,Exit Long,1517.7,1,1503.32,14.38,0.96,0,14.59,0.97,-2.75,-0.18,43.14,0.04,1
