Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2025-10-07 08:00,Exit Long,3979.92,1,3967.12,12.8,0.32,0,12.95,0.33,-2.71,-0.07,12.8,0.01,1
1,Entry long,2025-10-07 07:00,Long,3967.12,1,3967.12,12.8,0.32,0,12.95,0.33,-2.71,-0.07,12.8,0.01,1
2,Exit long,2025-10-09 05:00,Exit Long,4041.97,1,4038.2,3.77,0.09,0,3.95,0.10,-3.91,-0.10,16.57,0.02,1
2,Entry long,2025-10-09 04:00,Long,4038.2,1,4038.2,3.77,0.09,0,3.95,0.10,-3.91,-0.10,16.57,0.02,1
3,Exit long,2025-10-14 12:00,Exit Long,4155.02,1,4138.08,16.94,0.41,0,17.18,0.42,-10.09,-0.24,33.51,0.03,1
3,Entry long,2025-10-14 11:00,Long,4138.08,1,4138.08,16.94,0.41,0,17.18,0.42,-10.09,-0.24,33.51,0.03,1
4,Exit short,2025-10-24 00:00,Exit Short,4103.17,1,4109.62,6.45,0.16,0,6.69,0.16,-14.01,-0.34,39.96,0.04,2
4,Entry short,2025-10-23 22:00,Short,4109.62,1,4109.62,6.45,0.16,0,6.69,0.16,-14.01,-0.34,39.96,0.04,2
5,Exit short,2025-10-31 07:00,Exit Short,4002,1,4007.4,5.4,0.13,0,5.63,0.14,-3.85,-0.10,45.36,0.05,1
5,Entry short,2025-10-31 06:00,Short,4007.4,1,4007.4,5.4,0.13,0,5.63,0.14,-3.85,-0.10,45.36,0.05,1
6,Exit short,2025-11-03 14:00,Exit Short,3995.67,1,4006.38,10.71,0.27,0,10.91,0.27,-1.71,-0.04,56.07,0.06,1
6,Entry short,2025-11-03 13:00,Short,4006.38,1,4006.38,10.71,0.27,0,10.91,0.27,-1.71,-0.04,56.07,0.06,1
7,Exit long,2025-11-07 12:00,Exit Long,4009.78,1,4007.85,1.93,0.05,0,2.11,0.05,-0.05,0.00,58,0.06,1
7,Entry long,2025-11-07 11:00,Long,4007.85,1,4007.85,1.93,0.05,0,2.11,0.05,-0.05,0.00,58,0.06,1
8,Exit long,2025-11-14 00:00,EOD,4189.95,1,4204.52,-14.57,-0.35,0,1.38,0.03,-20.43,-0.49,43.43,0.04,2
8,Entry long,2025-11-13 22:00,Long,4204.52,1,4204.52,-14.57,-0.35,0,1.38,0.03,-20.43,-0.49,43.43,0.04,2
9,Exit short,2025-11-19 13:00,Exit Short,4076.04,1,4078.89,2.85,0.07,0,3.07,0.08,-0.05,0.00,46.28,0.05,1
9,Entry short,2025-11-19 12:00,Short,4078.89,1,4078.89,2.85,0.07,0,3.07,0.08,-0.05,0.00,46.28,0.05,1
