time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Bullish Directional Shift,Bearish Directional Shift,Fast EMA,Slow EMA,Trend EMA,Long Signal,Short Signal,Bars In Trade
2018-11-30,1224.09,1225.54,1216.64,1222.15,1224.09,1225.54,1216.64,1222.15,0,0,1221.8210151682135,1221.0344095054218,1227.5165360678582,0,0,
2018-12-03,1221.95,1234.91,1219.52,1230.72,1221.95,1234.91,1219.52,1230.72,1,0,1224.7873434454757,1222.4180652903615,1227.5799709972075,0,0,
2018-12-04,1230.26,1241.9,1230.2,1238.41,1230.26,1241.9,1230.2,1238.41,0,0,1229.3282289636504,1224.7026273917384,1227.794427017065,0,0,
2018-12-05,1238.85,1239.21,1233.27,1237.1,1238.85,1239.21,1233.27,1237.1,0,0,1231.9188193091002,1226.47368062149,1227.9786957890042,0,0,
2018-12-06,1237.58,1244.29,1234.72,1237.83,1237.58,1244.29,1234.72,1237.83,0,0,1233.8892128727334,1228.096011961277,1228.173771119915,0,0,
2018-12-07,1237.19,1250,1237.14,1248.52,1237.19,1250,1237.14,1248.52,0,0,1238.7661419151557,1231.0137245382375,1228.576666741303,0,0,
2018-12-10,1249.56,1250.88,1241.56,1244.37,1249.56,1250.88,1241.56,1244.37,0,0,1240.6340946101038,1232.9217638899179,1228.8894060137523,0,0,
2018-12-11,1244,1249.48,1241,1242.92,1244,1249.48,1241,1242.92,0,0,1241.3960630734025,1234.3500833342152,1229.1672395580345,0,0,
2018-12-12,1242.91,1247.11,1241.97,1245.32,1242.91,1247.11,1241.97,1245.32,0,0,1242.704042048935,1235.9172142864702,1229.4870962004495,0,0,
2018-12-13,1245.61,1246.69,1240.1,1241.8,1245.61,1246.69,1240.1,1241.8,0,0,1242.40269469929,1236.757612245546,1229.7309160776683,0,0,
2018-12-14,1241.67,1243.02,1232.88,1238.32,1241.67,1243.02,1232.88,1238.32,0,0,1241.0417964661933,1236.9808104961821,1229.9009969474175,0,0,
2018-12-17,1238.88,1248.07,1235.76,1245.65,1238.88,1248.07,1235.76,1245.65,0,0,1242.5778643107956,1238.2192661395848,1230.2128583940032,0,0,
2018-12-18,1245.77,1250.34,1245.03,1249.44,1245.77,1250.34,1245.03,1249.44,0,0,1244.8652428738637,1239.822228119644,1230.5935938713496,0,0,
2018-12-19,1249.59,1257.99,1241.69,1242.81,1249.59,1257.99,1241.69,1242.81,0,0,1244.1801619159091,1240.2490526739805,1230.8355029036002,0,0,
2018-12-20,1242.99,1266.44,1242.71,1259.63,1242.99,1266.44,1242.71,1259.63,0,0,1249.3301079439395,1243.0177594348404,1231.405690964915,0,0,
2018-12-21,1260.32,1262.72,1253.89,1255.39,1260.32,1262.72,1253.89,1255.39,0,0,1251.3500719626263,1244.7852223727205,1231.8806277774909,0,0,
2018-12-24,1257.42,1270.06,1257.06,1268.92,1257.42,1270.06,1257.06,1268.92,0,0,1257.206714641751,1248.2330477480461,1232.614080692788,0,0,
2018-12-26,1269.06,1279.06,1264.25,1266.85,1269.06,1279.06,1264.25,1266.85,0,0,1260.4211430945006,1250.8926123554681,1233.2920196889704,0,0,
2018-12-27,1266.61,1278.9,1266.12,1275.55,1266.61,1278.9,1266.12,1275.55,0,0,1265.4640953963337,1254.415096304687,1234.1288113782978,0,0,
2018-12-28,1275.36,1282.09,1274.24,1280.57,1275.36,1282.09,1274.24,1280.57,0,0,1270.4993969308891,1258.1515111183032,1235.0484388757573,0,0,
2018-12-31,1280.18,1284.03,1277.4,1282.48,1280.18,1284.03,1277.4,1282.48,0,0,1274.4929312872594,1261.6270095299742,1235.9876777099007,0,0,
2019-01-02,1282.46,1288.69,1278.67,1284.33,1282.46,1288.69,1278.67,1284.33,0,0,1277.7719541915062,1264.870293882835,1236.9449514186156,0,0,
2019-01-03,1285.4,1294.88,1283.85,1294.08,1285.4,1294.88,1283.85,1294.08,0,0,1283.207969461004,1269.0431090424302,1238.076338519237,0,0,
2019-01-04,1293.79,1298.49,1276.58,1284.84,1293.79,1298.49,1276.58,1284.84,0,0,1283.7519796406693,1271.2998077506545,1239.002351617866,0,0,
2019-01-07,1284.81,1295.03,1282.64,1289.05,1284.81,1295.03,1282.64,1289.05,0,0,1285.5179864271129,1273.835549500561,1239.9933941600864,0,0,
2019-01-08,1288.58,1290.17,1279.36,1285.25,1288.58,1290.17,1279.36,1285.25,0,0,1285.4286576180752,1275.4661852861952,1240.889564572758,0,0,
2019-01-09,1284.64,1293.82,1280.06,1293.18,1284.64,1293.82,1280.06,1293.18,0,0,1288.0124384120502,1277.9967302453101,1241.925018739634,0,0,
2019-01-10,1293.68,1297.02,1286.12,1286.35,1293.68,1297.02,1286.12,1286.35,0,0,1287.4582922747002,1279.1900544959801,1242.804721338849,0,0,
